id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51461480,🍃Chic & Cozy Near Washington Park Garden Suite,416799784,Rosie,J,TENTH WARD,42.65969,-73.77564,Entire home/apt,89,7,23,31-08-2024,0.66,1,55,2,
51503537,Walk to Everything Downtown Albany! Luxury Apt!,394420519,All Seasons,C,THIRD WARD,42.65061,-73.75006,Entire home/apt,113,4,8,02-04-2024,0.22,1,175,1,
51560588,Steps 2 Capital,392074908,Jerry,F,SIXTH WARD,42.65431,-73.75997,Entire home/apt,,365,42,10-09-2023,1.13,4,364,1,
51579900,★MODERN 1BR GREAT Location Downtown! W/D Parking!★,47625981,Linda,D,FOURTH WARD,42.65856,-73.74866,Entire home/apt,115,1,72,01-08-2024,1.93,16,356,12,
51592836,Lovely 1 Bedroom Unit In Historic Brownstone!,60293220,David,C,THIRD WARD,42.65843553,-73.74977589,Entire home/apt,99,2,84,17-08-2024,2.37,3,353,25,
51710034,Empire Plaza View I,392074908,Jerry,F,SIXTH WARD,42.65269,-73.76076,Entire home/apt,88,2,35,05-08-2024,0.95,4,355,6,
51960331,"Tuscan Garden Apt at Café Capriccio Albany, NY",418024477,Marlene,B,SECOND WARD,42.64684,-73.75614,Entire home/apt,125,1,95,02-08-2024,2.63,1,172,18,
51964868,Center Square,392074908,Jerry,F,SIXTH WARD,42.65442,-73.7611,Entire home/apt,88,2,52,15-10-2023,1.43,4,311,2,
52152157,"Modern space, everything you could want!",152762198,Allen,A,FIRST WARD,42.63066,-73.77357,Entire home/apt,106,3,58,11-08-2024,1.62,9,156,15,
52225409,3 bedroom single family home w/ off street parking,207800855,Iris,L,TWELFTH WARD,42.68553,-73.79716,Entire home/apt,124,3,48,30-08-2024,1.39,3,88,23,
52241973,Garden Apartment in Historic Center Square Home,35465673,Jason,F,SIXTH WARD,42.65641,-73.76413,Entire home/apt,87,1,256,18-08-2024,7.28,1,58,91,
52301345,Washington Park Brownstone-Large Luxury Bedroom 1,49100926,Clyde,F,SIXTH WARD,42.65934,-73.76966,Private room,100,2,4,16-08-2022,0.13,4,246,0,
52359404,3 bedroom quiet neighborhood w/ off street parking,207800855,Iris,O,FIFTEENTH WARD,42.67044,-73.82573,Entire home/apt,130,3,106,02-09-2024,2.99,3,349,42,
52360097,Empire Plaza View II,392074908,Jerry,F,SIXTH WARD,42.65386,-73.75958,Entire home/apt,88,2,74,18-08-2024,2.06,4,355,15,
52611613,* Adorable home w/parking near great restaurants *,232967878,Diana,I,NINTH WARD,42.65673773,-73.79221447,Entire home/apt,190,2,117,19-08-2024,3.32,25,178,32,
52619545,* Centrally located Eclectic vibe 2 bed w/parking,232967878,Diana,M,THIRTEENTH WARD,42.67181,-73.79543,Entire home/apt,125,2,73,07-07-2024,2.06,25,81,11,
52691284,+ Perfect place to make memories with loved ones +,232967878,Diana,J,TENTH WARD,42.66236,-73.79245,Entire home/apt,600,2,74,18-08-2024,2.1,25,74,24,
52836323,*Hidden gem w/in walking distance to Madison Ave *,232967878,Diana,M,THIRTEENTH WARD,42.67131,-73.7921,Entire home/apt,145,1,78,15-08-2024,2.38,25,80,34,
52837196,★MODERN 1BR Apt w/ PRIVATE deck! W/D★,47625981,Linda,D,FOURTH WARD,42.65812,-73.74837,Entire home/apt,115,1,64,03-05-2024,1.83,16,355,12,
52863776,Washington Parkside 1 Bedroom In 1800s Brownstone!,355777684,Lloyd,F,SIXTH WARD,42.65826,-73.76944,Entire home/apt,139,1,172,31-08-2024,4.94,3,344,49,
52923647,Cozy 3BR House in Whitehall near DT Albany,428451585,Erwin,H,EIGHTH WARD,42.64792,-73.79953,Entire home/apt,250,3,0,,,1,364,0,
53115382,Cozy 1-bdrm apt with off street parking,207800855,Iris,O,FIFTEENTH WARD,42.67004,-73.82367,Entire home/apt,,2,27,24-05-2023,0.79,3,0,0,
53312101,* 1 bed near Times Union center & Egg w/parking *,232967878,Diana,B,SECOND WARD,42.64369099,-73.7581024,Entire home/apt,95,2,52,27-07-2024,1.52,25,62,19,
53483727,Spacious Urban APT w/4BR & Office in Albany,433096110,Brian,N,FOURTEENTH WARD,42.65824,-73.80114,Entire home/apt,214,1,136,25-08-2024,4.18,3,246,47,
53567589,Private Garden Apt in Downtown Albany|Pets Allowed,433096110,Brian,F,SIXTH WARD,42.65204,-73.76655,Entire home/apt,99,1,223,25-08-2024,6.7,3,330,77,
53645427,★ BEAUTIFUL  2 BED 2 BATH  w/ SOAKER TUB + W/D★,47625981,Linda,D,FOURTH WARD,42.65913,-73.74722,Entire home/apt,150,1,98,08-08-2024,2.94,16,341,32,
53860077,/ Gorgeous Garden Getaway\ 1943 SUNY Eagle Hill,4259750,Peter,O,FIFTEENTH WARD,42.674675,-73.822861,Entire home/apt,212,1,23,24-08-2024,0.76,9,360,10,
53939991,Walk to Albany Med/New Scotland’s Restaurant Row,30883612,Mary,I,NINTH WARD,42.65302,-73.7875,Entire home/apt,84,30,1,06-03-2022,0.03,2,364,0,
53971505,Charming 1 Bdrm Garden Apt in Historic Brownstone,60293220,David,D,FOURTH WARD,42.65873,-73.7494,Entire home/apt,,13,3,31-12-2022,0.1,3,365,0,
54097694,B Unieke,438504176,Roland,B,SECOND WARD,42.64683,-73.75662,Entire home/apt,300,1,0,,,1,364,0,
54126420,Beautiful 1 bedroom in a quiet residential area.,37769478,Erion,J,TENTH WARD,42.66261,-73.79026,Entire home/apt,70,1,84,03-09-2024,3.08,10,362,28,
54126421,Beautiful Apartment in the heart of Albany,37769478,Erion,F,SIXTH WARD,42.65422,-73.76996,Entire home/apt,100,1,61,01-09-2024,2.05,10,355,26,
